ngram,text,page_index,line_index,offset_in_line,context,full_line,occurrence_index,total_for_gram,frequency_pct,exported_at
ta,ta,3,18,54, posita e̅ ;,"
                    
                    tempore posita e̅ ; dicta au̅ ‧ aera ex quo
                    
                ",4,5,3.8462,2026-03-12T15:20:17.565Z
ta,ta,3,26,36,scriptaru̅ ‧,sexto ‧ a tercia kalendaru̅ suꝑscriptaru̅ ‧,5,5,3.8462,2026-03-12T15:20:17.565Z
tan,tan,1,16,39,ma putant aut,principiu̅ ‧ au̅ anni ‧ alii a broma putant aut po,1,1,0.7692,2026-03-12T15:19:58.700Z
te,te,1,6,48,igurate ‧ si,"
                    
                    figurate ‧ significat ‧ o̅ne te̅pus ‧ uitę",1,3,2.3077,2026-03-12T15:19:58.700Z
te,te,1,6,71,o̅ne te̅pus ,"
                    
                    figurate ‧ significat ‧ o̅ne te̅pus ‧ uitę",2,3,2.3077,2026-03-12T15:19:58.700Z
te,te,2,16,67,s protenditu,"
                    
                    longius dies pascalis protenditur ;",3,3,2.3077,2026-03-12T15:20:09.324Z
te̅,te̅,1,11,10,nunc te̅pus a,ecce nunc te̅pus acceptabile ‧ ; fine̅ dinique,1,1,0.7692,2026-03-12T15:19:58.700Z
ti,ti,0,8,34, ‧ octim,ęquale sumat; marcius ↄsentit ‧ octim,1,12,9.2308,2026-03-12T15:19:43.394Z
ti,ti,1,1,62,t septimbrio,"
                    
                    aperilis ‧ ęquat septimbrio ; maius
                    
                ",2,12,9.2308,2026-03-12T15:19:58.700Z
ti,ti,1,15,35,i dicti sunt,id ‧ e̅ circulu̅ ‧ unde & anuli dicti sunt dementiue ;,3,12,9.2308,2026-03-12T15:19:58.700Z
ti,ti,1,15,48,dementiue ;,id ‧ e̅ circulu̅ ‧ unde & anuli dicti sunt dementiue ;,4,12,9.2308,2026-03-12T15:19:58.700Z
ti,ti,1,18,68,solisticio u,"
                    
                    ut hebrei ; alii ‧ a solisticio ut greci ;",5,12,9.2308,2026-03-12T15:19:58.700Z
ti,ti,2,4,61,a certis te̅,"
                    
                    do o̅nia sidera certis te̅poribus numeris
                    
                ",6,12,9.2308,2026-03-12T15:20:09.324Z
ti,ti,2,6,63, ‧ antiqui ‧,"
                    
                    tur ‧ que̅ annu̅ ‧ antiqui ‧ inde uicissimo",7,12,9.2308,2026-03-12T15:20:09.324Z
ti,ti,2,8,4,solsticiali,solsticialis annus ‧ e̅ cu̅ sol ‧ expl&o ꝑ o̅nia,8,12,9.2308,2026-03-12T15:20:09.324Z
ti,ti,2,17,12,issextilis ‧,annus bissextilis ‧ e̅ ‧ in quo unius diei per,9,12,9.2308,2026-03-12T15:20:09.324Z
ti,ti,2,24,2,antiqua p,"antiqua possesio & ↄgregabantur o̅nes
                    
                ",10,12,9.2308,2026-03-12T15:20:09.324Z
ti,ti,3,2,52, ‧ actis ann,"
                    
                    trans ‧ actis annis ‧ iiii ‧ in quib; atonis tem",11,12,9.2308,2026-03-12T15:20:17.565Z
ti,ti,3,3,55,m sortitur p,"
                    
                    pus finem sortitur propt̅ quadriemni
                    
                ",12,12,9.2308,2026-03-12T15:20:17.565Z
to,to,3,26,3,sexto ‧ a ,sexto ‧ a tercia kalendaru̅ suꝑscriptaru̅ ‧,1,1,0.7692,2026-03-12T15:20:17.565Z
tr,tr,2,14,74,unas tredeci,"
                    
                    annus ‧ embolismus e̅ qui lunas tredecim",1,5,3.8462,2026-03-12T15:20:09.324Z
tr,tr,2,18,21,x quatrantis,quadrienniu̅ ‧ ex quatrantis racione,2,5,3.8462,2026-03-12T15:20:09.324Z
tr,tr,3,2,42,     trans ‧,"
                    
                    trans ‧ actis annis ‧ iiii ‧ in quib; atonis tem",3,5,3.8462,2026-03-12T15:20:17.565Z
tr,tr,3,9,55,; lustru̅ e̅,"
                    
                    neretur ; lustru̅ e̅ quinquenni tempus
                    
                ",4,5,3.8462,2026-03-12T15:20:17.565Z
tr,tr,3,10,72,̅ lustru̅ ‧ ,"
                    
                    aput romanos dictus e̅ au̅ lustru̅ ‧ quia",5,5,3.8462,2026-03-12T15:20:17.565Z
tri,tri,1,22,77,us astri recu,"
                    
                    Cuilis annus ‧ e̅ qui ‧ in unius astri recursu",1,2,1.5385,2026-03-12T15:19:58.700Z
tri,tri,3,5,42,     triu̅ ho,"
                    
                    triu̅ horaru̅ ‧ ↄsum acione in quadri",2,2,1.5385,2026-03-12T15:20:17.565Z
tu,tu,0,1,22,mplentur die,taliq; racione complentur dies ‧ ccc lx ‧,1,11,8.4615,2026-03-12T15:19:43.394Z
tu,tu,1,9,82," & totum
   ","
                    
                    cauit solus fuit acceptabiles ‧ sed & totum
                    
                ",2,11,8.4615,2026-03-12T15:19:58.700Z
tu,tu,1,21,51,e̅ naturale̅,"
                    
                    parte̅ naturale̅ ‧ patim magnu̅ e̅e dixer̅",3,11,8.4615,2026-03-12T15:19:58.700Z
tu,tu,2,1,51, dicitur ‧ e,"
                    
                    quod dicitur ‧ eclipsis ‧ cuius racio deucius
                    
                ",4,11,8.4615,2026-03-12T15:20:09.324Z
tu,tu,2,5,43,reuertun,q; ↄpl&is ad suu̅ locu̅ ‧ uel ordine̅ reuertun,5,11,8.4615,2026-03-12T15:20:09.324Z
tu,tu,2,6,42,     tur ‧ q,"
                    
                    tur ‧ que̅ annu̅ ‧ antiqui ‧ inde uicissimo",6,11,8.4615,2026-03-12T15:20:09.324Z
tu,tu,2,11,63, ꝑagitur ; a,"
                    
                    qui dieb; ccclxv ꝑagitur ; annus lunaris
                    
                ",7,11,8.4615,2026-03-12T15:20:09.324Z
tu,tu,2,16,72,tenditur ;,"
                    
                    longius dies pascalis protenditur ;",8,11,8.4615,2026-03-12T15:20:09.324Z
tu,tu,3,3,57,sortitur pro,"
                    
                    pus finem sortitur propt̅ quadriemni
                    
                ",9,11,8.4615,2026-03-12T15:20:17.565Z
tu,tu,3,10,58,s dictus e̅ ,"
                    
                    aput romanos dictus e̅ au̅ lustru̅ ‧ quia",10,11,8.4615,2026-03-12T15:20:17.565Z
tu,tu,3,17,50,oluuntur ; a,"
                    
                    reuoluuntur ; aera quoq; cesaris augusti",11,11,8.4615,2026-03-12T15:20:17.565Z
um,um,3,15,33,decimum ueni,los annos ‧ usq; ad quintu̅ decimum ueni,1,1,0.7692,2026-03-12T15:20:17.565Z
ęg,ęg,3,24,12,u̅ ‧ ęgipcio,annus au̅ ‧ ęgipciorx ‧ sine bissextu̅ inicium ‧,1,1,0.7692,2026-03-12T15:20:17.565Z
ęta,ęta,3,8,70,diq; ętate & ,"
                    
                    nituri ‧ ut n̅ solu̅ undiq; ętate & sexu ↄue",1,1,0.7692,2026-03-12T15:20:17.565Z
